"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"STXBP2"	2.33805241541673e-08	-1.12731206131468	0.168	0.387	0.000296301382605762	"0"	"STXBP2"
"C4orf48"	3.56220083513963e-08	-1.07784176954711	0.064	0.239	0.000451437711837245	"0"	"C4orf48"
"FLT3LG"	3.58075402970712e-08	1.02106557882787	0.219	0.019	0.000453788958184784	"0"	"FLT3LG"
"DUSP2"	8.10945467103041e-08	1.23349523469991	0.33	0.103	0.00102771119045968	"0"	"DUSP2"
"MAL"	8.77730181100019e-08	1.03413804100686	0.202	0.019	0.00111234745850805	"0"	"MAL"
"MIR24-2"	8.89200313179275e-08	-1.00700522332409	0.051	0.213	0.00112688355689209	"0"	"MIR24-2"
"PPP2R5C"	1.0671901267197e-07	1.07237986587672	0.32	0.097	0.00135245004759188	"0"	"PPP2R5C"
"IGLL5"	2.19708216325351e-07	-2.00671037346281	0.007	0.11	0.00278436222549117	"0"	"IGLL5"
"ARL4C"	2.75361279833782e-07	1.06439988742832	0.266	0.065	0.00348965349933352	"0"	"ARL4C"
"S100A4"	3.88693336300462e-07	-1.21918322799797	0.801	0.729	0.00492591065093576	"0"	"S100A4"
"PRF1"	4.11438229769218e-07	1.88953357110842	0.242	0.058	0.0052141566858653	"0"	"PRF1"
"GZMH"	6.45433171944307e-07	1.94173454575749	0.182	0.019	0.00817957458805021	"0"	"GZMH"
"CD8B"	1.04706549173204e-06	1.52823217174887	0.185	0.026	0.0132694609767201	"0"	"CD8B"
"FGFBP2"	1.18701982894447e-06	1.96271539096557	0.152	0.006	0.0150431022922133	"0"	"FGFBP2"
"ZAP70"	1.21544370511954e-06	1.12907486999067	0.189	0.026	0.0154033180749799	"0"	"ZAP70"
"TIMP1"	1.42313286283624e-06	-1.03727995228762	0.219	0.413	0.0180353627707237	"0"	"TIMP1"
"C12orf57"	2.79137708045997e-06	1.03721795505979	0.347	0.142	0.0353751217406691	"0"	"C12orf57"
"C20orf27"	3.31407457723233e-06	-1.42773571304117	0.051	0.187	0.0419992671172653	"0"	"C20orf27"
"NDUFS7"	3.36240066346004e-06	-1.04807501361008	0.205	0.4	0.0426117036080291	"0"	"NDUFS7"
"CD8A"	5.29307120043726e-06	1.09332820472091	0.172	0.026	0.0670790913231413	"0"	"CD8A"
"GZMB"	5.97735695703796e-06	2.7779956628134	0.178	0.032	0.0757510447165421	"0"	"GZMB"
"SERPINB1"	1.51980158101838e-05	-1.41278865505415	0.263	0.465	0.192604454362459	"0"	"SERPINB1"
"HOPX"	1.76129247686368e-05	1.10064024788488	0.172	0.032	0.223208595592934	"0"	"HOPX"
"SPON2"	1.85846432641667e-05	1.21269491080202	0.135	0.013	0.235523184086784	"0"	"SPON2"
"CCL4"	6.02859552123164e-05	1.87925965510132	0.155	0.032	0.764003910405686	"0"	"CCL4"
"C16orf74"	8.0953892539777e-05	-1.16675641801266	0.024	0.11	1	"0"	"C16orf74"
"GZMK"	0.000115917164787593	1.55237150304387	0.138	0.026	1	"0"	"GZMK"
"GBP1"	0.000407912256350398	1.03583834681485	0.138	0.032	1	"0"	"GBP1"
"EIF2AK4"	0.000496084756846093	-1.18252608026853	0.003	0.052	1	"0"	"EIF2AK4"
"LAT2"	0.000799293655642421	-1.24921956275545	0.047	0.135	1	"0"	"LAT2"
"CAT"	0.00126821601919967	-1.11724146866679	0.091	0.2	1	"0"	"CAT"
"GPKOW"	0.00617777918516492	1.09471201427859	0.061	0.006	1	"0"	"GPKOW"
"LGALS2.1"	2.88827883934656e-73	3.74695562313143	0.863	0.031	3.6603157731039e-69	"1"	"LGALS2"
"S100A8.1"	5.16497433123984e-71	5.67331043959613	0.916	0.073	6.54557196998025e-67	"1"	"S100A8"
"S100A9.1"	1.65960130674966e-68	6.16168405676517	0.979	0.148	2.10321273604385e-64	"1"	"S100A9"
"FCN1.1"	5.96154467090054e-66	4.07125674015962	0.905	0.095	7.55506556143226e-62	"1"	"FCN1"
"LST1.1"	5.68140300997309e-65	3.84488055730173	0.937	0.129	7.20004203453889e-61	"1"	"LST1"
"CST3.1"	1.15285106617191e-64	4.59702336365269	0.979	0.188	1.46100815615966e-60	"1"	"CST3"
"AIF1.1"	1.54131091747176e-63	3.71665736021631	0.968	0.168	1.95330332571196e-59	"1"	"AIF1"
"TYROBP.1"	7.75271361473343e-63	3.99317685918788	0.979	0.199	9.82501396395167e-59	"1"	"TYROBP"
"CFD.1"	1.83943893182878e-61	3.0520868270624	0.811	0.05	2.33112095830661e-57	"1"	"CFD"
"FCER1G.1"	2.17377918870096e-61	3.07483733377717	0.989	0.157	2.75483036584073e-57	"1"	"FCER1G"
"LGALS1.1"	1.39812481857297e-57	3.44237326912389	1	0.294	1.77184358257752e-53	"1"	"LGALS1"
"TYMP.1"	1.88263834595278e-56	3.2492369997974	0.905	0.151	2.38586757582596e-52	"1"	"TYMP"
"CD14.1"	3.16178361628206e-56	2.80178659995775	0.663	0.014	4.00692837691425e-52	"1"	"CD14"
"MS4A6A.1"	3.74765643102307e-54	3.05496465620061	0.642	0.014	4.74940499503554e-50	"1"	"MS4A6A"
"LYZ.1"	6.84080904639565e-54	5.37448537505751	1	0.493	8.66935730449721e-50	"1"	"LYZ"
"IFI30.1"	1.51935528707987e-53	2.54274186437142	0.621	0.008	1.92547895531632e-49	"1"	"IFI30"
"AP1S2.1"	1.42092096761186e-51	2.683903348021	0.842	0.109	1.80073314225451e-47	"1"	"AP1S2"
"GRN.1"	1.38897904794424e-50	2.52178204823998	0.747	0.064	1.76025314745973e-46	"1"	"GRN"
"FTL.1"	3.13959812227682e-50	3.58063855895635	1	0.986	3.97881270036142e-46	"1"	"FTL"
"FTH1.1"	2.37080121668439e-49	3.01297392787909	1	0.989	3.00451638190413e-45	"1"	"FTH1"
"SERPINA1.1"	4.08910873139042e-47	2.50960062213829	0.726	0.07	5.18212749529108e-43	"1"	"SERPINA1"
"GSTP1.1"	4.61445452444874e-47	2.97385396740675	0.947	0.303	5.84789821883389e-43	"1"	"GSTP1"
"LGALS3.1"	5.41047698882787e-47	2.57857604003185	0.779	0.095	6.85669748794156e-43	"1"	"LGALS3"
"S100A6.1"	2.53058574835864e-46	2.45329467906893	1	0.664	3.20701131889491e-42	"1"	"S100A6"
"CFP.1"	1.35263641826219e-45	2.32001847744164	0.663	0.048	1.71419613286367e-41	"1"	"CFP"
"COTL1.1"	2.20509373763399e-45	2.60069917168618	0.989	0.487	2.79451529370355e-41	"1"	"COTL1"
"PSAP.1"	1.41630641421443e-44	2.19587039816343	0.947	0.353	1.79488511873395e-40	"1"	"PSAP"
"CEBPD.1"	1.45135902170744e-44	2.41757572865268	0.737	0.076	1.83930728820984e-40	"1"	"CEBPD"
"SPI1.1"	2.68497902826218e-44	2.22749546374393	0.663	0.05	3.40267392251666e-40	"1"	"SPI1"
"NCF2.1"	6.89872309844073e-44	2.39545892367601	0.589	0.025	8.74275178265394e-40	"1"	"NCF2"
"MALAT1"	1.93836691663939e-43	-1.69516950951454	1	1	2.4564923934571e-39	"1"	"MALAT1"
"S100A4.1"	4.29270408575055e-43	2.10864146921259	1	0.717	5.44014388787167e-39	"1"	"S100A4"
"OAZ1.1"	5.42743338925109e-43	1.77647498330975	1	0.863	6.8781863341979e-39	"1"	"OAZ1"
"TKT.1"	3.94440923354852e-42	2.32897821740095	0.832	0.16	4.99874982167604e-38	"1"	"TKT"
"CDA.1"	7.03531369601713e-42	2.68100173454422	0.537	0.017	8.91585304696251e-38	"1"	"CDA"
"IFITM3.1"	4.45740645333396e-41	2.722485314041	0.642	0.062	5.64887119831013e-37	"1"	"IFITM3"
"NPC2.1"	1.24585442824768e-40	2.73196729456814	0.842	0.224	1.57887131691829e-36	"1"	"NPC2"
"S100A11.1"	1.80691326679159e-40	2.13138949791645	0.958	0.398	2.28990118300498e-36	"1"	"S100A11"
"GABARAP.1"	3.59438887752353e-40	2.07441560981797	0.905	0.331	4.55516902448557e-36	"1"	"GABARAP"
"CTSS.1"	3.87987629935996e-40	2.57835125806014	0.916	0.339	4.91696723417888e-36	"1"	"CTSS"
"GPX1.1"	1.12365872930447e-39	1.90428390618341	0.895	0.28	1.42401270764756e-35	"1"	"GPX1"
"SAT1.1"	7.1837841915202e-39	2.49393836450148	0.958	0.459	9.10400970591355e-35	"1"	"SAT1"
"FCGRT.1"	9.37497526949198e-39	2.09146527327343	0.674	0.076	1.18809061590272e-34	"1"	"FCGRT"
"BLVRB.1"	1.00272093287664e-38	1.97767156575074	0.6	0.048	1.27074823823457e-34	"1"	"BLVRB"
"RPS27A"	6.11215378095397e-38	-1.63870600068397	0.905	0.992	7.74593248660297e-34	"1"	"RPS27A"
"PYCARD.1"	3.38747780397633e-37	2.42320806982401	0.789	0.182	4.2929506209792e-33	"1"	"PYCARD"
"FPR1.1"	4.86757224647966e-36	1.9075788437213	0.453	0.011	6.16867430796368e-32	"1"	"FPR1"
"RPL9"	3.36851481757506e-35	-1.45360625447657	0.947	0.989	4.26891882831287e-31	"1"	"RPL9"
"BRI3.1"	5.29969176971337e-35	2.03604525398208	0.589	0.064	6.71629937975775e-31	"1"	"BRI3"
"MNDA.1"	5.93542016300622e-35	1.88366813257236	0.442	0.011	7.52195797257779e-31	"1"	"MNDA"
"SLC7A7.1"	6.54364844892797e-35	1.97330729803537	0.463	0.017	8.29276567932641e-31	"1"	"SLC7A7"
"RPS27"	7.93624145385698e-35	-1.25739838390851	0.979	0.989	1.00575987944729e-30	"1"	"RPS27"
"IGSF6.1"	7.60023343559689e-34	1.98970269318013	0.432	0.011	9.63177583293194e-30	"1"	"IGSF6"
"PTPRCAP"	1.04542091429172e-32	-3.02841150446309	0.116	0.815	1.3248619246819e-28	"1"	"PTPRCAP"
"RPL23A"	1.18143965825548e-32	-1.11288378791918	0.989	0.992	1.49723847890717e-28	"1"	"RPL23A"
"CD68.1"	1.36667399856361e-32	2.08153726778924	0.558	0.056	1.73198595837966e-28	"1"	"CD68"
"TNFSF13B.1"	3.32832706392956e-32	1.89480441408751	0.495	0.036	4.21798888811793e-28	"1"	"TNFSF13B"
